中	a
物产	ndlp
物资	ndlq
犏	ndoc
妒	ndoh
物	ndpp
物质	ndpp
物体	ndrm
物件	ndrn
物价	ndrr
物理	ndwr
娘家	ndxh
物证	ndyh
娘子	ndzw
妹	neab
奸	neah
姣	nebi
嫡	nebk
婀	nehg
婷	nekg
嬗	nekh
犒	nekk
妹妹	nene
妩媚	nenw
妩	nepg
好高骛远	newe
妹子	nezw
姓	nf
牿	nfak
牲畜	nfew
妨	nfhg
牲口	nfka
妨碍	nfor
姓	nfth
牲	nftt
姓名	nfxk
妨害	nfxs
她	ng
她	ngag
婿	ngau
奶头	ngdd
姒	ngdr
娜	ngee
嫉	ngld
嬷	ngms
嫉妒	ngnd
奶奶	ngng
奶	ngph
她们	ngrm
嫩	nh
娅	nhah
嫣	nhah
牾	nhak
姬	nhaw
媾	nhct
侥	nhge
娆	nhge
姨	nhgr
婕	nhir
妪	nhiw
嫩	nhkw
侥幸	nhtb
婊	nhti
婧	nhtu
好事多磨	nhxg
妇	ni
妇联	nieb
犍	niez
妇	nihh
妇女	ninw
妇人	nirp
嫂	nj
嫂	njay
妃	njhg
始终如一	njnh
嫂子	njzw
如	nk
如此	nkab
如上	nkah
如若	nkco
如其	nkcs
姻	nkdh
娱	nker
姐夫	nker
妍	nkha
如下	nkha
如	nkhh
絮	nkjh
如同	nkkh
娲	nkkr
如意	nklr
姐妹	nkne
姐姐	nknk
娉	nkog
妯	nkoh
娱乐	nkpw
如今	nkrd
如何	nkrh
如是	nkrh
如果	nkrm
犋	nksb
姐	nksh
娟	nkuh
如月	nkup
如实	nkxd
恕	nkxh
嫜	nlro
妈	nm
姆	nmhd
妈	nmhh
娴	nmmh
妈妈	nmnm
牦	nmtg
姝	nnbh
姗姗来迟	nnho
妮	no
妮	nobh
嫱	nobh
姑父	nobi
嬉	nodk
犊	nogd
姑	nokh
姑且	noks
妙手回春	noks
牯	nokt
娓	nomh
姑娘	nond
姑妈	nonm
如饥似渴	nora
媸	nowa
妓	noyh
牛	np
媲美	npbw
物质财富	npbx
娇	npda
妖	npdh
鸟	npgd
姗	npgh
姊	npgp
婚	npgr
媲	npkb
姚	npld
媳	npmx
姊妹	npne
媳妇	npni
婚姻	npnk
娥	npod
婚礼	npog
妊	npoh
物质文明	npwr
妗	nrdw
妲	nrhh
媪	nrmh
娼妓	nrno
娼	nrrh
娌	nrth
始	ns
始终	nsjw
始	nskh
特	nt
特此	ntab
特点	ntah
特	ntct
特色	ntdb
特大	ntdh
特效	nteb
特制	ntfh
特区	nthi
特殊	nthx
嫘	ntjh
特级	ntjp
特别	ntkl
特产	ntlp
特意	ntlr
特权	ntmy
娃娃	ntnt
特有	ntou
姥	ntpb
牡丹	ntpg
特种	ntpm
特征	ntpr
特使	ntrh
特地	nttg
牡	ntth
娃	ntth
特长	ntvp
特务	ntwl
特性	ntxf
特定	ntxh
孀	numm
娠	nv
娠	nven
女	nw
牧业	nwaa
媚	nwam
牧草	nwcr
妤	nwdg
女儿	nwep
女工	nwgh
牧区	nwhi
女婿	nwng
女士	nwoh
女	nwph
女人	nwrp
牧场	nwtg
妞	nwth
牧	nwtn
牧民	nwwh
女性	nwxf
女孩	nwze
女子	nwzw
婶	nx
鸵	nxbh
嫁	nxhn
嫖	nxoh
嫁接	nxol
嫔	nxpb
妙	nxph
姹	nxpq
婶	nxra
嫦	nxtj
婉	nxxg
努	ny
弩	nygh
怒火	nyhd
奴才	nyhg
奴	nyhn
奴隶	nyig
帑	nyjh
胬	nykr
怒吼	nykz
努力	nylg
努	nylh
驽	nymh
奴役	nypr
怒气	nyqp
怒	nyxh
孥	nyzh
好些	nzab
好战	nzah
好笑	nzap
好受	nzat
好比	nzbb
好的	nzbd
好学	nzdb
好奇	nzdh
好象	nzdk
好久	nzdn
好	nzhh
好事	nzhk
好不	nzhr
好歹	nzhx
好吃	nzkf
好听	nzkj
好意	nzlr
妙趣横生	nzmf
牺牲	nznf
好好	nznz
好在	nzoa
好看	nzpe
好人	nzrp
好汉	nzsy
牺	nzth
好坏	nzth
好转	nzve
好感	nzvh
好处	nzwa
好心	nzxd
好客	nzxw
好多	nzxx
好说	nzyb
好评	nzyh
好话	nzyp
是	o
山	oa
在业	oaaa
抓紧	oaaa
在此	oaab
揽	oaag
崔	oaah
存盘	oaam
推算	oaam
授粉	oabm
推断	oabm
山谷	oabr
携带	oaca
在世	oach
推荐	oaco
捋	oact
推举	oadb
掉头	oadd
山头	oadd
摇头	oadd
抓斗	oadd
祉	oadh
扑	oadt
山峦	oaea
在于	oaeg
推敲	oaek
在职	oaek
推进	oaep
掉队	oaer
排除	oaer
排队	oaer
搬动	oaes
搬运	oaes
推动	oaes
摇动	oaes
按步就班	oaew
援	oaey
推选	oafa
在先	oafa
摇	oaft
存放	oafw
援引	oaga
推广	oagd
携	oagp
扯皮	oagp
在座	oagr
在下	oaha
祯	oahb
山顶	oahg
援救	oahg
礁	oahh
碓	oahh
扑灭	oahh
山区	oahi
拈	oahk
砧	oahk
山歌	oahk
掳	oahl
掉	oaho
山东	oahw
摅	oahx
排列	oahx
排斥	oajd
在编	oajd
排练	oajh
推销	oajx
搬	oajy
山路	oaka
在内	oakr
援助	oaks
授奖	oala
犀	oaln
授意	oalr
在意	oalr
推杆	oame
砧木	oamh
存根	oami
山根	oami
攥	oamj
山林	oamm
山麓	oamm
推想	oamm
存档	oamx
授权	oamy
馁	oang
存在	oaoa
推迟	oaod
礁石	oaoh
存折	oaoj
扑克	oaok
携手	oaop
山岭	oaor
存款	oaos
摇摆	oaos
排挤	oaow
山峰	oaow
推崇	oaox
排版	oapa
山川	oapa
推翻	oapb
在乎	oapb
岿	oapi
推移	oapm
推辞	oapo
推行	oapr
故步自封	oapt
排气	oaqp
展览会	oare
摇曳	oarg
推倒	oarh
在位	oarl
存货	oarq
摇晃	oarx
存储	oary
授信	oary
推测	oasb
排灌	oasc
排泄	oasc
山洪	oasc
推导	oasc
山沟	oasd
排水	oasg
山水	oasg
山河	oash
排	oass
排场	oatg
山地	oatg
山坡	oatg
在场	oatg
扯	oath
推	oath
抓	oatn
在	oatp
在教	oatp
授	oaty
山脉	oaud
山脚	oaut
山腰	oaux
掉转	oave
排长	oavp
山	oawa
推出	oawa
扑通	oawd
授予	oawd
排球	oawh
推理	oawr
在理	oawr
援外	oaxa
存心	oaxd
在心	oaxd
搬家	oaxh
山西	oaxh
山寨	oaxh
在家	oaxh
扯谎	oayc
山羊	oayd
推论	oayr
存	oazp
把	ob
岜	obag
指点	obah
磁盘	obam
揩	obbb
把关	obbe
批判	obbe
砒	obbh
磁道	obbh
指数	obbm
撄	obbn
屁	obbp
批	obbt
磁带	obca
屏幕	obcr
屏蔽	obcx
磁头	obdd
指头	obdd
扮	obdt
拌	obea
饼干	obea
掷	obee
指望	obeg
拦阻	obek
屏障	obel
丧失	obfd
嶷	obfr
批复	obfr
指引	obga
碰巧	obgh
指正	obha
搛	obhb
碰	obhh
啬	obhh
丧事	obhk
丧	obhn
磁	obhs
嵫	obhs
指责	obht
搠	obhu
磁铁	objf
屏风	obji
指针	objo
批改	objw
饼	obkg
扒开	obkh
拦网	obki
屏	obkp
碰见	obkp
拼	obkt
批准	obla
磁力	oblg
屡次	oblq
拼音	oblr
拼凑	obls
磷	obma
嶙	obma
批阅	obmb
把门	obmd
搂	obmn
屡	obmn
嵝	obmn
指标	obmo
屎	obmp
擞	obmw
拍摄	oboe
拍卖	obog
尼龙	obog
磁石	oboh
批示	oboh
指示	oboh
碰壁	obok
指南	obok
碰撞	obol
把握	oboo
拍手	obop
把手	obop
把持	obot
指挥	obot
尼	obpg
指向	obpk
碑	obpo
捭	obpo
嵬	obps
丧气	obqp
指甲	obra
拍照	obrd
指令	obrd
拦住	obre
批量	obrh
拼命	obrh
指使	obrh
峪	obrk
磁体	obrm
掸	obro
禅	obro
磁化	obrq
指	obrt
指明	obru
指导	obsc
拦	obst
扮演	obsx
把	obtg
磁场	obtg
拍	obth
拼写	obth
扒	obtn
指教	obtp
磷肥	obub
屁股	obuj
指出	obwa
禚	obwh
批发	obwp
把守	obxc
磁心	obxd
磁性	obxf
指定	obxh
撙	obyc
把戏	obyg
批评	obyh
磷酸	obys
拍子	obzw
掸子	obzw
展	oc
卉	ocaa
展览	ocaa
射箭	ocab
贲	ocba
按劳分配	ocby
展望	oceg
拉萨市	ocej
射击	oceo
嵌	oceq
硭	ocew
按劳取酬	ocey
措施	ocff
殿下	ocha
拱	ochb
磺	ochb
搭救	ochg
碟	ochm
揲	ochm
展	ochn
措	ochr
馑	ocht
臀	ochu
撒	ochw
屉	ochw
馓	ochw
殿	ochy
砹	ocih
射线	ocje
撕毁	ocjg
描绘	ocjr
展销	ocjx
苗圃	ockh
展开	ockh
展品	ockk
描述	ocmd
射门	ocmd
苗木	ocmh
拱桥	ocmp
搭档	ocmx
撒娇	ocnp
展示	ocoh
射手	ocop
摸索	ocot
射	ocpd
措辞	ocpo
摸	ocrd
馍	ocrd
射影	ocre
搭	ocrk
搽	ocrx
祺	ocsb
礴	ocsc
撕	ocsj
描写	octh
捞	octl
崂	octl
嵘	octm
礞	octn
苗	octt
描	octt
撒腿	ocui
披荆斩棘	ocvh
展出	ocwa
展现	ocwk
礤	ocxo
撒谎	ocyc
搭配	ocyj
搭讪	ocyo
挝	oczt
换	od
确凿	odaa
换算	odam
喜爱	odat
护送	odbe
迟疑	odbf
搅	odbg
抱歉	odbh
掬	odbm
掩盖	odbw
撩	odbx
操之过急	odcd
喜鹊	odch
掩藏	odcv
掩蔽	odcx
抱负	oddb
抖	oddo
挎包	odds
挎	odeg
福州市	odej
招聘	odek
抖动	odes
鼓动	odes
搅动	odes
换取	odey
鼓舞	odfc
掏	odft
招生	odft
招收	odga
招工	odgh
持之以恒	odgx
崎	odhg
掎	odhg
挽救	odhg
拘束	odhk
喜事	odhk
迟到	odhs
招致	odhs
挣	odig
峥	odig
迟缓	odja
馅	odjg
迟钝	odjh
鼓风	odji
掐	odjt
喜	odka
岣	odka
鼓足	odka
搀	odkd
馋	odkd
换	odkd
挽	odkg
熹	odkh
挽回	odkk
招呼	odkp
鼓吹	odkq
振兴中华	odkr
拘	odkt
招	odkt
嘉奖	odla
确立	odld
嘉	odlk
招架	odlk
护林	odmm
招标	odmo
喜好	odnz
抖擞	odob
搅拌	odob
碥	odoc
招展	odoc
迟迟	odod
掩护	odod
搀扶	odoe
喜报	odoe
掩饰	odof
挣扎	odog
护士	odoh
崎岖	odoh
瞽	odom
鼙	odoo
捩	odoq
护	odot
捺	odot
掮	odou
鼓	odoy
招牌	odpa
甏	odpd
拘留	odpg
挽留	odpg
饱和	odpm
搀和	odpm
彭	odpp
拘役	odpr
招待	odpr
确切	odqd
换气	odqp
峋	odra
饱含	odrd
掩	odrg
崦	odrg
确保	odrk
掩映	odrk
迟早	odro
确信	odry
饱满	odsc
饱	odsg
抱	odst
招考	odtp
确	odua
挣脱	odub
抛头露面	oduh
鼓励	odvh
礻	odwa
护理	odwr
喜悦	odxb
确实	odxd
抱怨	odxg
确定	odxh
鼓掌	odxt
拘谨	odyc
喜讯	odyg
喜欢	odyq
确认	odyr
换句话说	odyy
迟	odzp
挞	odzt
报	oe
矸	oeah
抗战	oeah
报答	oear
磅	oebf
报道	oebh
饺	oebi
磙	oebi
碲	oebj
摘	oebk
搞鬼	oebp
破除迷信	oebr
抚养	oebs
报账	oebv
有效期	oecs
提高警惕	oecx
祁	oeda
掠夺	oedc
砖头	oedd
扭亏为盈	oedg
报刊	oeea
十六进制	oeef
撤离	oeei
南京市	oeej
撤职	oeek
抗击	oeeo
撤除	oeer
摘除	oeer
抚育	oees
揶	oeet
摄取	oeey
报告	oefa
十进制	oefh
报复	oefr
摘引	oega
饯	oegd
报应	oegd
饵	oegh
抗病	oegl
报废	oegw
屙	oehg
报到	oehs
报表	oeht
撤退	oeig
报纸	oejp
抗	oejt
报销	oejx
擅	oekh
攘	oeki
禳	oeki
搞	oekk
嵩	oekk
撤回	oekk
礅	oekw
掠	oekx
崞	oekz
层次	oelq
扶植	oemo
搞好	oenz
抚摸	oeoc
硫磺	oeoc
报喜	oeod
撤换	oeod
拐弯抹角	oeod
层层	oeoe
抗拒	oeoh
摄食	oeop
报社	oeot
扶持	oeot
撤兵	oepa
抚顺	oepa
抚	oepg
摄氏	oepg
擅自	oepm
报刊杂志	oepo
托儿所	oepp
掭	oerd
抗旱	oere
摄影	oere
掖	oern
碎	oero
报仇	oerp
硫化	oerq
报价	oerr
扶	oert
撵	oerv
报信	oery
报导	oesc
硫	oesg
层	oesp
搞活	oesp
撤	oesw
撤消	oesx
报考	oetp
拄	oett
十二月	oeup
擅长	oevp
接二连三	oevs
砖	oewd
抟	oewd
摘录	oewe
摔	oewo
搐	oewt
报名	oexk
报案	oexn
摘要	oexn
报酬	oeyd
抗议	oeyd
报请	oeyh
抗诉	oeyj
摘记	oeyj
硫酸	oeys
报	oeyt
摄	oeyy
撤走	oezh
饺子	oezw
拖	of
攒	ofab
祚	ofae
砟	ofae
屹	ofga
拖	ofgg
饰	ofjg
手舞足蹈	ofkk
屹立	ofld
饬	oflg
拖延	ofpa
报告文学	ofwd
矿业	ogaa
手工业	ogaa
掂	ogak
尴	ogam
破旧	ogar
垄断	ogbm
饲料	ogbm
饲养	ogbs
礼节	ogcg
摭	ogch
扩散	ogch
破获	ogcq
礼花	ogcr
尤其	ogcs
矿藏	ogcv
礼	ogd
卖	ogdd
尥	ogdd
龙头	ogdd
觌	ogdg
扩大	ogdh
矿房	ogdo
尤	ogdp
扬州	ogdp
拟	ogdr
局限	ogei
袭击	ogeo
矿井	ogep
破除	oger
扩充	oges
挪动	oges
挪	oget
拟制	ogfh
矿工	oggh
矿床	oggm
推广应用	oggu
扩张	oggv
破烂	oghb
礼炮	oghd
破灭	oghh
矿区	oghi
饲	oghk
祠	oghk
矿	oghp
局面	oghp
左面	oghp
破裂	oghx
找寻	ogic
扩建	ogie
搪	ogik
礼品	ogkk
局	ogkp
卖国	ogkw
矿浆	ogla
局部	oglk
搦	ogll
矿产	oglp
破产	oglp
搪瓷	oglq
左边	oglz
龙门	ogmd
矿柱	ogme
扎根	ogmi
矿物	ognd
礼物	ognd
尤如	ognk
矿山	ogoa
扩展	ogoc
破碎	ogoe
尴尬	ogog
矿石	ogoh
破损	ogok
左右	ogok
局势	ogop
左手	ogop
尢	ogp
拂	ogpa
砩	ogpa
龚	ogpb
龙	ogpd
礼貌	ogpd
聋	ogpe
礼拜	ogpe
躬	ogpg
左	ogph
袭	ogpi
拟稿	ogpm
扬程	ogpm
砻	ogpo
扬	ogpp
饧	ogpp
砀	ogpp
垄	ogpt
扔	ogpt
披	ogpy
破	ogpy
尬	ogra
破例	ogrh
局促	ogrk
矿体	ogrm
左派	ogsp
扎	ogt
找	ogtd
扛	ogth
破坏	ogth
扩	ogtp
扩军	ogtv
挪用	ogua
礼服	ogue
左转	ogve
挪威	ogvh
局长	ogvp
矿长	ogvp
掉以轻心	ogvx
扎实	ogxd
拟定	ogxh
礼堂	ogxt
扬言	ogyd
拟订	ogyh
十	oh
十	oha
士	oha
博览	ohaa
捂	ohak
打算	oham
硬盘	oham
博爱	ohat
拥政爱民	ohaw
峡	ohbd
挟	ohbd
硖	ohbd
十分	ohbd
吉普	ohbh
崃	ohbm
打断	ohbm
砰	ohbo
抨	ohbo
灰白	ohbp
峡谷	ohbr
拉丁美洲	ohbs
打赌	ohbt
打败	ohbw
声带	ohca
石英	ohck
捕获	ohcq
示范	ohcs
博学	ohdb
灰色	ohdb
声誉	ohdb
搏斗	ohdd
石头	ohdd
有求必应	ohdg
抹煞	ohdi
硬朗	ohdi
福州	ohdp
躯干	ohea
石膏	ohek
搏击	oheo
打击	oheo
抨击	oheo
打动	ohes
石刻	ohew
硬度	ohgc
拭	ohgd
挠	ohge
饶	ohge
硗	ohge
打	ohgt
屿	ohgt
扌	ohgt
打下	ohha
示	ohhg
屋顶	ohhg
十一	ohhh
声速	ohhk
视而不见	ohhk
灰烬	ohho
十万	ohhp
屋面	ohhp
福建	ohie
打退	ohig
抹杀	ohih
捷	ohir
抠	ohiw
躯	ohiw
岖	ohiw
拒绝	ohjd
打针	ohjo
砸	ohjw
吉	ohka
十足	ohka
颉	ohkb
石墨	ohkb
岢	ohkg
打开	ohkh
攮	ohki
馕	ohki
打听	ohkj
身不由己	ohkj
石器	ohkk
声响	ohkp
福	ohkt
打架	ohlk
屋架	ohlk
声音	ohlr
示意	ohlr
石棉	ohmb
石门	ohmd
石柱	ohme
吉林	ohmm
盔	ohmp
石板	ohmp
石榴	ohmp
抹	ohmt
声母	ohmw
博物	ohnd
声援	ohoa
打扮	ohob
石碑	ohob
捕捞	ohoc
打捞	ohoc
打搅	ohod
打碎	ohoe
热火朝天	ohoe
打破	ohog
博士	ohoh
石灰	ohoh
硕士	ohoh
志士	ohoh
打扫	ohoi
捕捉	ohok
打扰	ohoo
饥不择食	ohoo
捕食	ohop
打手	ohop
声势	ohop
吉祥	ohoy
石	ohpa
士兵	ohpa
硕	ohpb
颛	ohpb
打印	ohpg
打杂	ohpg
志向	ohpk
福利	ohpm
吉利	ohpm
声称	ohpm
灰	ohpn
打入	ohpn
打乱	ohpo
博得	ohpr
捷径	ohpr
声乐	ohpw
遄	ohpz
打猎	ohqc
打气	ohqp
福气	ohqp
士气	ohqp
志气	ohqp
盔甲	ohra
打住	ohre
打倒	ohrh
打量	ohrh
示例	ohrh
硬	ohri
灰暗	ohrl
躯体	ohrm
硬件	ohrn
打仗	ohro
硬化	ohrq
声明	ohru
揠	ohrw
打滚	ohse
声波	ohsg
硬水	ohsg
石油	ohsk
屋	ohst
碛	ohtb
壹	ohtd
壶	ohth
礓	ohth
壳	ohtj
碡	ohtm
石块	ohtw
懿	ohtx
悫	ohtx
彀	ohty
毂	ohty
觳	ohty
硬脂	ohub
博	ohuc
搏	ohuc
捕	ohud
捕鱼	ohup
十月	ohup
十一月	ohup
志愿	ohvb
石蜡	ohvc
示威	ohvh
拣	ohwb
罄	ohwf
饨	ohwg
砘	ohwg
磬	ohwo
声	ohwp
岈	ohwp
砑	ohwp
打发	ohwp
馨	ohwr
拒	ohww
岽	ohwx
謦	ohwy
志	ohxa
吉它	ohxb
灰心	ohxd
真才实学	ohxd
山东省	ohxp
灰尘	ohxt
打字	ohxz
十字	ohxz
硬说	ohyb
声调	ohyp
志趣	ohze
石子	ohzw
扫	oi
扫荡	oics
扫除	oier
扫帚	oiit
捃	oikt
扫描	oioc
扫射	oioc
扫视	oiok
崤	oiou
扫	oith
福建省	oixp
布	oj
投篮	ojaa
岂	ojag
屺	ojag
搜集	ojam
折旧	ojar
搜	ojay
馊	ojay
蜇	ojbt
饥荒	ojce
拆散	ojch
逝世	ojch
躲藏	ojcv
祈	ojda
剀	ojda
哲学	ojdb
矾	ojdh
投奔	ojdo
刷	ojdp
拆	ojdt
拆除	ojer
投降	ojew
布告	ojfa
投靠	ojfa
拆卸	ojfo
投放	ojfw
投弹	ojgb
饥	ojgg
折磨	ojgm
斫	ojha
身经百战	ojha
布匹	ojhe
矶	ojhg
祈求	ojhg
布面	ojhp
岂不	ojhr
拾金不昧	ojhr
岚	ojia
搜寻	ojic
砜	ojih
凯	ojja
折线	ojje
拆毁	ojjg
折中	ojka
觊	ojkg
拆开	ojkh
踅	ojkr
哲	ojkt
投产	ojlp
投资	ojlq
投机	ojmj
投标	ojmo
躲	ojmp
搜查	ojmr
投梭	ojms
投掷	ojob
投射	ojoc
折射	ojoc
布局	ojog
躲避	ojok
折扣	ojok
饥饿	ojop
投身	ojop
搜索	ojot
布	ojpa
投稿	ojpm
投入	ojpn
掀	ojqt
揿	ojqt
布景	ojre
投影	ojre
展销会	ojre
折合	ojrh
克己奉公	ojsb
布满	ojsc
刷洗	ojsf
拆台	ojsk
布置	ojso
折	ojta
拆封	ojtt
饥民	ojwh
哲理	ojwr
投票	ojxo
誓言	ojyd
誓	ojyt
投	ojyt
投诚	ojyv
折叠	ojyy
掀起	ojzj
逝	ojzt
刷子	ojzw
故	ok
岍	okaa
视频	okaa
馈	okab
南北	okae
古	okah
献策	okah
捉	okar
南非	okas
真的	okbd
祖父	okbi
南	okbo
献	okbq
损	okbt
挹	okbt
古巴	okbw
南美	okbw
碘	okcb
真菌	okck
古董	okcp
操劳	okct
辜负	okdb
视觉	okdb
直觉	okdb
硎	okdh
避免	okdk
抽象	okdk
直角	okdu
摁	okdx
直达	okdz
克	okea
拐弯	okea
祝	oked
兢	okee
南京	okek
故障	okel
古迹	okep
真迹	okep
扣除	oker
南阳	oker
抽动	okes
揖	oket
祖先	okfa
南方	okfd
损失	okfd
右方	okfd
克制	okfh
研制	okfh
食品工业	okga
胡麻	okgm
研磨	okgm
研	okha
南亚	okha
真正	okha
直爽	okhi
峒	okhk
硐	okhk
抽烟	okhk
故事	okhk
南面	okhp
右面	okhp
直到	okhs
直至	okhs
壁画	okht
岗	okia
直隶	okig
视线	okje
直线	okje
操练	okjh
避风	okji
操纵	okjr
献给	okjr
古典	okkc
避开	okkh
胡同	okkh
操	okkm
祸	okkr
视图	okkw
祖国	okkw
捌	okld
劈	okld
璧	okld
甓	okld
矗立	okld
视力	oklg
襞	okli
鐾	oklj
南部	oklk
祝贺	oklk
檗	oklm
嬖	okln
辟	oklo
辜	oklo
擘	oklo
故意	oklr
壁	oklt
拐	oklt
臂	oklu
譬	okly
避	oklz
南边	oklz
右边	oklz
胡椒	okma
胡闹	okme
捆	okmh
真相	okmm
抽查	okmr
祖母	okmw
抽样	okmy
鸪	okna
避嫌	oknb
譬如	oknk
抽屉	okoc
捉摸	okoc
献礼	okog
抽	okoh
届	okoh
岫	okoh
崮	okoh
祝福	okoh
捐献	okok
直接	okol
直尺	okon
献身	okop
右手	okop
真挚	okop
直播	okop
直属	okop
扣押	okor
南朝	okor
操持	okot
视	okpg
砚	okpg
岘	okpg
扣留	okpg
右	okph
捐税	okpm
胡乱	okpo
胡须	okpp
南瓜	okpp
直径	okpr
真切	okqd
右倾	okrb
届时	okrc
古今	okrd
操作	okrf
损伤	okrf
颠倒	okrh
古代	okrh
真是	okrh
捉拿	okrh
岗位	okrl
古人	okrp
南昌	okrr
避暑	okrt
视野	okrt
损耗	oksa
颠	oksb
真	oksb
祖	oksd
直流	okse
南海	oksf
直	oksh
抽泣	oksl
矗	okss
碘酒	oksy
操场	oktg
扣	okth
损坏	okth
古老	oktp
胡	okua
臂膀	okue
克服	okue
鹕	okun
捐	okut
祝愿	okvb
直辖	okvx
故	okwa
掴	okwh
右翼	okwl
真理	okwr
故乡	okww
嘏	okwy
操心	okxd
真实	okxd
真心	okxd
抽空	okxg
真空	okxg
南宁	okxh
故宫	okxk
南宋	okxm
祖宗	okxo
颠覆	okxp
研究	okxp
祸害	okxs
损害	okxs
视察	okxx
古怪	okxy
避难	okya
胡说	okyb
避讳	okyh
直观	okyk
献计	okyo
抽调	okyp
真诚	okyv
胡子	okzw
扣子	okzw
拉	ol
接受	olat
接管	olax
协	olba
拉萨	olce
接头	oldd
接触	oldu
协商	oleb
撞击	oleo
接替	oler
接收	olga
接应	olgd
砬	olhh
协约	oljd
接线	olje
接近	oljz
接口	olka
碚	olkh
拉开	olkh
协同	olkh
接见	olkp
协助	olks
掊	olkt
接力	ollg
拉力	ollg
协力	ollg
矿产资源	olls
拉杆	olme
接	olnt
拉扯	oloa
拉拢	oloo
接手	olop
裘	olpi
接种	olpm
接待	olpr
协会	olre
协作	olrf
接合	olrh
拉倒	olrh
嶂	olro
拉伸	olrr
撞	olrt
揞	olrt
接洽	olsr
接地	oltg
拉	olth
拉长	olvp
接连	olvz
接通	olwd
协定	olxh
拼音字母	olxm
协议	olyd
接着	olym
协调	olyp
尾	om
崧	ombs
尾巴	ombw
有目共睹	omcm
码头	omdd
尾随	omeo
碴儿	omep
技术交流	omes
攫取	omey
技术革新	omgl
技术革命	omgr
码	omhh
技术员	omkb
技术开发部	omkl
技术咨询	omly
撬	ommm
攫	ommy
拇指	omob
有根有据	omoo
喜马拉雅山	omoo
尾	ompg
碴	omrh
揸	omrh
馇	omrh
南极洲	omsd
搁置	omso
拇	omtd
扪	omtg
搁	omwk
尾翼	omwl
吉林省	omxp
尽	on
尽管	onax
尺寸	onch
尽	ondd
尽头	ondd
丈夫	oner
昼夜	oner
尺度	ongc
咫	onkb
尽力	onlg
尺码	onom
博物馆	onox
尺	onp
丈	onp
昼	onrh
尽量	onrh
尽是	onrh
尽情	onxh
尽快	onxw
尺子	onzw
据	oo
兢兢业业	ooaa
据此	ooab
岩	ooah
据点	ooah
技师	ooap
摧	ooat
岂有此理	ooaw
摒	oobk
拔节	oocg
技艺	oocg
熨	ooch
碾	oocn
搌	oocn
尉	oocp
磊落	oocs
慰劳	ooct
慰	oocx
熨斗	oodd
禧	oodk
挑拨离间	ooem
掘进	ooep
扰动	ooes
剧院	ooex
拢	oogd
扰	oogd
技工	oogh
技巧	oogh
剧痛	oogl
揣摩	oogm
揣	ooha
炭	ooha
撷	oohb
拮	oohk
措手不及	oohp
握	ooht
剧毒	ooht
挺身而出	oohw
摧残	oohx
剧烈	oohx
摧毁	oojg
饱食终日	oojr
岵	ooka
拓跋	ooka
巅	ookb
剧	ookd
祜	ookd
剧团	ookh
擗	ooko
居	ookp
剧目	ooma
技术	oomd
技校	oome
剧本	oomh
慰问	oomk
岩层	oooe
磊	oooh
碳	oooh
岩石	oooh
据	oook
握手	ooop
据悉	oopb
扰乱	oopo
居住	oore
握住	oore
擀	ooro
技法	oost
技能	oosu
剧场	ootg
拓	ooth
饽	ootz
居民	oowh
掘	oowo
崛	oowo
居然	ooxd
打破常规	ooxe
岐	ooya
据说	ooyb
拔	ooyd
祓	ooyd
碳酸	ooys
技	ooyt
手	op
身	opag
身上	opah
挑战	opah
热爱	opat
身分	opbd
播送	opbe
食道	opbh
食粮	opbm
捣鬼	opbp
食欲	opbr
播	opbt
履带	opca
热带	opca
手艺	opcg
身世	opch
挢	opda
峤	opda
祆	opdd
插头	opdd
手头	opdd
饫	opdg
势必	opdg
手套	opdh
砭	opdn
抵触	opdu
抵达	opdz
属于	opeg
挺进	opep
抛弃	opes
托运	opes
挑选	opfa
抵制	opfh
抑制	opfh
饭店	opga
托收	opga
贽	opgb
抵	opgd
执	opgd
祗	opgd
砥	opgd
抑	opge
峁	opge
饣	opgg
热	opgh
手工	opgh
絷	opgj
碉	opgk
抛	opgl
势	opgl
鸷	opgn
捣	opgo
挚	opgo
尻	opgp
插座	opgr
垫	opgt
馏	opgt
蛰	opgv
祢	opgx
手下	opha
执政	opha
手	ophh
抵赖	ophk
插页	ophp
手表	opht
热烈	ophx
手巾	opja
手帕	opjb
抛锚	opjc
履约	opjd
捣毁	opjg
热风	opji
手绢	opjk
手续	opjo
插销	opjx
插嘴	opka
手足	opka
垫圈	opkb
属	opkd
硇	opkh
括号	opkh
括	opkk
饷	opkk
食品	opkk
挑唆	opks
插图	opkw
挑	opld
祧	opld
挺立	opld
热力	oplg
势力	oplg
播音	oplr
嵴	oplu
身边	oplz
擤	opma
热门	opmd
手术	opmd
热闹	opme
揪	opmh
身材	opmh
手柄	opmh
热机	opmj
打印机	opmj
手杖	opmo
手枪	opmr
巍	opms
食	opnd
食物	opnd
嵊	opob
食指	opob
手指	opob
峨	opod
饿	opod
硪	opod
抵抗	opoe
捶	opoh
饪	opoh
身躯	opoh
插	opoj
挺拔	opoo
扳手	opop
插手	opop
身手	opop
手势	opop
巍峨	opop
抵押	opor
扦	opot
挑拨	opow
执拗	opow
抵挡	opox
饭馆	opox
饭碗	opox
挺	opoz
垫片	oppa
身段	oppa
手段	oppa
手册	oppg
拨乱反正	opph
搋	oppj
播种	oppm
插秧	oppm
热血	oppm
手稿	oppm
